componentId,supplierId,relationshipType
COMP-001,SUP-001,SUPPLIED_BY
COMP-002,SUP-007,SUPPLIED_BY
COMP-003,SUP-003,SUPPLIED_BY
COMP-004,SUP-005,SUPPLIED_BY
COMP-005,SUP-012,SUPPLIED_BY
COMP-006,SUP-002,SUPPLIED_BY
COMP-007,SUP-007,SUPPLIED_BY
COMP-008,SUP-003,SUPPLIED_BY
COMP-009,SUP-008,SUPPLIED_BY
COMP-010,SUP-011,SUPPLIED_BY
COMP-011,SUP-002,SUPPLIED_BY
COMP-012,SUP-006,SUPPLIED_BY
COMP-013,SUP-006,SUPPLIED_BY
COMP-014,SUP-007,SUPPLIED_BY
COMP-015,SUP-009,SUPPLIED_BY
COMP-016,SUP-012,SUPPLIED_BY
COMP-017,SUP-001,SUPPLIED_BY
COMP-018,SUPPLIER-006,SUPPLIED_BY
COMP-019,SUP-010,SUPPLIED_BY
COMP-020,SUP-011,SUPPLIED_BY
