subsystemId,componentId,relationshipType
SUB-002,COMP-001,HAS_COMPONENT
SUB-003,COMP-002,HAS_COMPONENT
SUB-004,COMP-003,HAS_COMPONENT
SUB-001,COMP-004,HAS_COMPONENT
SUB-003,COMP-005,HAS_COMPONENT
SUB-005,COMP-006,HAS_COMPONENT
SUB-003,COMP-007,HAS_COMPONENT
SUB-004,COMP-008,HAS_COMPONENT
SUB-005,COMP-009,HAS_COMPONENT
SUB-001,COMP-010,HAS_COMPONENT
SUB-006,COMP-011,HAS_COMPONENT
SUB-005,COMP-012,HAS_COMPONENT
SUB-005,COMP-013,HAS_COMPONENT
SUB-007,COMP-015,HAS_COMPONENT
SUB-003,COMP-016,HAS_COMPONENT
SUB-001,COMP-017,HAS_COMPONENT
SUB-005,COMP-018,HAS_COMPONENT
SUB-007,COMP-019,HAS_COMPONENT
SUB-004,COMP-020,HAS_COMPONENT
