reqId,title,description,type,priority,status,verificationMethod,source,safetyLevel,releaseVersion,owner,acceptanceCriteria,rationale,createdDate,lastModified
REQ-001,Maximum Assisted Speed,Motor assistance shall stop above 25 kmh,Regulatory,High,Approved,Road Test,EN15194,ASIL-B,1.0,System Engineering,Speed cutoff verified,Legal compliance,2025-01-10,2025-02-14
REQ-002,Minimum Vehicle Range,eBike shall achieve at least 120 km range,Performance,High,Approved,Road Test,Marketing,None,1.0,Vehicle Engineering,Range achieved under WLTP profile,Customer expectation,2025-01-15,2025-02-20
REQ-003,Battery Thermal Protection,System shall disconnect charging during overtemperature,Safety,Critical,Approved,Environmental Test,IEC62133,ASIL-C,1.1,Safety Engineering,Protection verified at 60C,Prevent thermal runaway,2025-01-22,2025-03-01
REQ-004,Motor Overcurrent Protection,System shall limit motor current under fault conditions,Safety,Critical,Approved,Fault Injection Test,ISO26262,ASIL-D,1.2,Powertrain Engineering,Current limited within safe threshold,Prevent motor damage,2025-02-01,2025-03-10
REQ-005,Brake Signal Redundancy,Brake activation shall be detected via dual-channel input,Safety,Critical,Approved,Hardware-in-Loop Test,ISO13849,ASIL-D,1.2,Brake Systems Engineering,Redundant signal agreement verified,Ensure safe braking,2025-02-05,2025-03-12
REQ-006,Battery State of Charge Accuracy,SOC estimation error shall be below 3%,Performance,High,Approved,Simulation,BMS Specification,None,1.1,Battery Engineering,Error < 3% across cycle range,Improve range prediction accuracy,2025-02-10,2025-03-15
REQ-007,Firmware Update Integrity,System shall verify firmware authenticity before installation,Security,Critical,Approved,Penetration Test,Cybersecurity Spec,ASIL-C,1.3,Software Engineering,Signature validation enforced,Prevent tampering,2025-02-12,2025-03-18
REQ-008,Display Speed Accuracy,Displayed speed shall deviate less than 2 kmh,Performance,Medium,Approved,Track Test,HMI Spec,None,1.1,HMI Engineering,Deviation < 2 kmh verified,User accuracy requirement,2025-02-15,2025-03-20
REQ-009,Water Ingress Protection,System shall withstand IP67 water exposure,Safety,High,Approved,Environmental Test,EN15194,None,1.2,Mechanical Engineering,No failure after immersion test,Outdoor reliability,2025-02-18,2025-03-22
REQ-010,Motor Temperature Limiting,Motor shall reduce power above 90C,Thermal,Critical,Approved,Thermal Chamber Test,Safety Spec,ASIL-C,1.3,Thermal Engineering,Power reduction activated at threshold,Prevent overheating,2025-02-20,2025-03-25
REQ-011,Pedal Assist Responsiveness,Assist torque shall respond within 200 ms,Performance,High,Approved,Track Test,UX Spec,None,1.1,Control Systems,Response time < 200 ms,Improve ride feel,2025-02-22,2025-03-28
REQ-012,Bluetooth Connectivity Stability,System shall maintain BLE connection for 10 minutes minimum,Performance,Medium,Approved,Field Test,Connectivity Spec,None,1.0,Connectivity Team,Stable connection duration met,Improve user app experience,2025-02-25,2025-03-30
REQ-013,Emergency Motor Shutdown,System shall disable motor within 100 ms on critical fault,Safety,Critical,Approved,Fault Injection Test,ISO26262,ASIL-D,1.3,Safety Engineering,Shutdown latency < 100 ms,Prevent hazardous operation,2025-02-28,2025-04-01
